homeTileId,workTileId,rows,workers
NEC_CM01_RM03,NEC_CP03_RP02,20,20
NEC_CM01_RM03,NEC_CP03_RP03,1,1
NEC_CM01_RM03,NEC_CP04_RP01,1,1
NEC_CM01_RM03,NEC_CP04_RP03,1,1
NEC_CM01_RP00,NEC_CM01_RM01,72023,74892
NEC_CM01_RP00,NEC_CM01_RM02,2626,2627
NEC_CM01_RP00,NEC_CM01_RM03,43,43
NEC_CM01_RP00,NEC_CM01_RP00,326906,357331
NEC_CM01_RP00,NEC_CM01_RP01,4519,4728
NEC_CM01_RP00,NEC_CM02_RM01,9204,9231
NEC_CM01_RP00,NEC_CM02_RM02,195,195
NEC_CM01_RP00,NEC_CM02_RM03,50,50
NEC_CM01_RP00,NEC_CM02_RP00,33149,34740
NEC_CM01_RP00,NEC_CM02_RP01,2632,2642
NEC_CM01_RP00,NEC_CM03_RM01,3647,3652
NEC_CM01_RP00,NEC_CM03_RM02,1194,1194
NEC_CM01_RP00,NEC_CM03_RM03,26,26
NEC_CM01_RP00,NEC_CM03_RP00,1088,1089
NEC_CM01_RP00,NEC_CM04_RM01,573,573
NEC_CM01_RP00,NEC_CM04_RM02,748,749
NEC_CM01_RP00,NEC_CM04_RM03,33,33
NEC_CM01_RP00,NEC_CP00_RM01,19617,19699
NEC_CM01_RP00,NEC_CP00_RP00,232747,238935
NEC_CM01_RP00,NEC_CP00_RP01,2801,2839
NEC_CM01_RP00,NEC_CP00_RP02,853,855
NEC_CM01_RP00,NEC_CP01_RP00,2096,2098
NEC_CM01_RP00,NEC_CP01_RP01,506,506
NEC_CM01_RP00,NEC_CP01_RP02,105,105
NEC_CM01_RP00,NEC_CP02_RP00,72,72
NEC_CM01_RP00,NEC_CP02_RP01,111,111
NEC_CM01_RP00,NEC_CP02_RP02,128,128
NEC_CM01_RP00,NEC_CP02_RP03,9,9
NEC_CM01_RP00,NEC_CP03_RP00,1,1
NEC_CM01_RP00,NEC_CP03_RP01,316,316
NEC_CM01_RP00,NEC_CP03_RP02,870,873
NEC_CM01_RP00,NEC_CP03_RP03,17,17
NEC_CM01_RP00,NEC_CP04_RP00,1,1
NEC_CM01_RP00,NEC_CP04_RP01,23,23
NEC_CM01_RP00,NEC_CP04_RP03,27,27
NEC_CM01_RP01,NEC_CM01_RM01,625,625
NEC_CM01_RP01,NEC_CM01_RM02,19,19
NEC_CM01_RP01,NEC_CM01_RP00,4300,4633
NEC_CM01_RP01,NEC_CM01_RP01,32248,36598
NEC_CM01_RP01,NEC_CM02_RM01,442,442
NEC_CM01_RP01,NEC_CM02_RM02,4,4
NEC_CM01_RP01,NEC_CM02_RM03,3,3
NEC_CM01_RP01,NEC_CM02_RP00,1596,1601
NEC_CM01_RP01,NEC_CM02_RP01,3008,3063
NEC_CM01_RP01,NEC_CM03_RM01,344,344
NEC_CM01_RP01,NEC_CM03_RM02,54,54
NEC_CM01_RP01,NEC_CM03_RM03,3,3
NEC_CM01_RP01,NEC_CM03_RP00,186,186
NEC_CM01_RP01,NEC_CM04_RM01,59,59
NEC_CM01_RP01,NEC_CM04_RM02,30,30
NEC_CM01_RP01,NEC_CP00_RM01,101,101
NEC_CM01_RP01,NEC_CP00_RP00,20838,21087
NEC_CM01_RP01,NEC_CP00_RP01,11250,11726
NEC_CM01_RP01,NEC_CP00_RP02,2884,2913
NEC_CM01_RP01,NEC_CP01_RP00,1070,1070
NEC_CM01_RP01,NEC_CP01_RP01,213,213
NEC_CM01_RP01,NEC_CP01_RP02,48,48
NEC_CM01_RP01,NEC_CP02_RP00,27,27
NEC_CM01_RP01,NEC_CP02_RP01,26,26
NEC_CM01_RP01,NEC_CP02_RP02,35,35
NEC_CM01_RP01,NEC_CP02_RP03,16,16
NEC_CM01_RP01,NEC_CP03_RP01,75,75
NEC_CM01_RP01,NEC_CP03_RP02,174,174
NEC_CM01_RP01,NEC_CP03_RP03,4,4
NEC_CM01_RP01,NEC_CP04_RP00,1,1
NEC_CM01_RP01,NEC_CP04_RP01,3,3
NEC_CM01_RP01,NEC_CP04_RP03,7,7
NEC_CM02_RM01,NEC_CM01_RM01,219982,231246
NEC_CM02_RM01,NEC_CM01_RM02,4007,4042
NEC_CM02_RM01,NEC_CM01_RM03,1738,1750
NEC_CM02_RM01,NEC_CM01_RP00,6955,6976
NEC_CM02_RM01,NEC_CM01_RP01,231,231
NEC_CM02_RM01,NEC_CM02_RM01,706037,770814
NEC_CM02_RM01,NEC_CM02_RM02,25154,26823
NEC_CM02_RM01,NEC_CM02_RM03,1476,1483
NEC_CM02_RM01,NEC_CM02_RP00,42282,45885
NEC_CM02_RM01,NEC_CM02_RP01,2131,2134
NEC_CM02_RM01,NEC_CM03_RM01,50812,51622
NEC_CM02_RM01,NEC_CM03_RM02,12357,12548
NEC_CM02_RM01,NEC_CM03_RM03,330,330
NEC_CM02_RM01,NEC_CM03_RP00,4325,4334
NEC_CM02_RM01,NEC_CM04_RM01,3215,3224
NEC_CM02_RM01,NEC_CM04_RM02,2950,2954
NEC_CM02_RM01,NEC_CM04_RM03,158,158
NEC_CM02_RM01,NEC_CP00_RM01,1829,1830
NEC_CM02_RM01,NEC_CP00_RP00,12740,12748
NEC_CM02_RM01,NEC_CP00_RP01,257,257
NEC_CM02_RM01,NEC_CP00_RP02,176,176
NEC_CM02_RM01,NEC_CP01_RP00,764,764
NEC_CM02_RM01,NEC_CP01_RP01,345,345
NEC_CM02_RM01,NEC_CP01_RP02,47,47
NEC_CM02_RM01,NEC_CP02_RP00,47,47
