homeTileId,workTileId,odRows,workers
NY_CM01_RP03,NY_CM04_RP01,1,1
NY_CM01_RP03,NY_CM04_RP02,84,84
NY_CM01_RP03,NY_CM04_RP03,113,113
NY_CM01_RP03,NY_CM05_RP01,4,4
NY_CM01_RP03,NY_CM05_RP02,123,123
NY_CM01_RP03,NY_CM05_RP03,8,8
NY_CM01_RP03,NY_CM06_RP02,1,1
NY_CM01_RP03,NY_CP00_RP00,628,628
NY_CM01_RP03,NY_CP00_RP01,103,103
NY_CM01_RP03,NY_CP00_RP02,1006,1016
NY_CM01_RP03,NY_CP00_RP03,194,216
NY_CM01_RP03,NY_CP00_RP04,90,90
NY_CM01_RP03,NY_CP00_RP05,12,12
NY_CM01_RP03,NY_CP01_RP00,91,91
NY_CM01_RP03,NY_CP01_RP02,3,3
NY_CM01_RP03,NY_CP01_RP03,3,3
NY_CM01_RP03,NY_CP02_RP00,7,7
NY_CM01_RP04,NY_CM01_RP00,4,4
NY_CM01_RP04,NY_CM01_RP01,32,32
NY_CM01_RP04,NY_CM01_RP02,292,294
NY_CM01_RP04,NY_CM01_RP03,126,126
NY_CM01_RP04,NY_CM01_RP04,9026,10887
NY_CM01_RP04,NY_CM01_RP05,1903,2030
NY_CM01_RP04,NY_CM02_RP01,54,54
NY_CM01_RP04,NY_CM02_RP02,752,774
NY_CM01_RP04,NY_CM02_RP03,867,879
NY_CM01_RP04,NY_CM02_RP04,2246,2339
NY_CM01_RP04,NY_CM03_RP01,58,58
NY_CM01_RP04,NY_CM03_RP02,150,151
NY_CM01_RP04,NY_CM03_RP03,100,100
NY_CM01_RP04,NY_CM03_RP04,18,18
NY_CM01_RP04,NY_CM04_RP02,168,168
NY_CM01_RP04,NY_CM04_RP03,209,209
NY_CM01_RP04,NY_CM05_RP01,15,15
NY_CM01_RP04,NY_CM05_RP02,155,155
NY_CM01_RP04,NY_CM05_RP03,27,27
NY_CM01_RP04,NY_CM06_RP01,4,4
NY_CM01_RP04,NY_CM06_RP02,7,7
NY_CM01_RP04,NY_CP00_RP00,423,424
NY_CM01_RP04,NY_CP00_RP01,112,112
NY_CM01_RP04,NY_CP00_RP02,972,984
NY_CM01_RP04,NY_CP00_RP03,201,206
NY_CM01_RP04,NY_CP00_RP04,2204,2349
NY_CM01_RP04,NY_CP00_RP05,162,164
NY_CM01_RP04,NY_CP01_RP00,66,66
NY_CM01_RP04,NY_CP01_RP02,4,4
NY_CM01_RP04,NY_CP01_RP03,8,8
NY_CM01_RP04,NY_CP01_RP04,1,1
NY_CM01_RP04,NY_CP02_RP00,6,6
NY_CM01_RP05,NY_CM01_RP01,11,11
NY_CM01_RP05,NY_CM01_RP02,85,86
NY_CM01_RP05,NY_CM01_RP03,27,27
NY_CM01_RP05,NY_CM01_RP04,1292,1409
NY_CM01_RP05,NY_CM01_RP05,2934,4266
NY_CM01_RP05,NY_CM02_RP01,27,27
NY_CM01_RP05,NY_CM02_RP02,232,240
NY_CM01_RP05,NY_CM02_RP03,208,209
NY_CM01_RP05,NY_CM02_RP04,366,376
NY_CM01_RP05,NY_CM03_RP01,15,15
NY_CM01_RP05,NY_CM03_RP02,51,51
NY_CM01_RP05,NY_CM03_RP03,31,32
NY_CM01_RP05,NY_CM03_RP04,7,7
NY_CM01_RP05,NY_CM04_RP01,1,1
NY_CM01_RP05,NY_CM04_RP02,50,50
NY_CM01_RP05,NY_CM04_RP03,63,63
NY_CM01_RP05,NY_CM05_RP01,3,3
NY_CM01_RP05,NY_CM05_RP02,62,62
NY_CM01_RP05,NY_CM05_RP03,9,9
NY_CM01_RP05,NY_CM06_RP01,1,1
NY_CM01_RP05,NY_CM06_RP02,3,3
NY_CM01_RP05,NY_CP00_RP00,125,125
NY_CM01_RP05,NY_CP00_RP01,36,36
NY_CM01_RP05,NY_CP00_RP02,363,368
NY_CM01_RP05,NY_CP00_RP03,59,59
NY_CM01_RP05,NY_CP00_RP04,882,959
NY_CM01_RP05,NY_CP00_RP05,83,86
NY_CM01_RP05,NY_CP01_RP00,24,24
NY_CM01_RP05,NY_CP01_RP02,1,1
NY_CM01_RP05,NY_CP02_RP00,3,3
NY_CM02_RP01,NY_CM01_RP00,23,23
NY_CM02_RP01,NY_CM01_RP01,554,562
NY_CM02_RP01,NY_CM01_RP02,1183,1197
NY_CM02_RP01,NY_CM01_RP03,130,132
NY_CM02_RP01,NY_CM01_RP04,52,52
NY_CM02_RP01,NY_CM01_RP05,38,38
NY_CM02_RP01,NY_CM02_RP01,44017,51360
NY_CM02_RP01,NY_CM02_RP02,5492,5807
NY_CM02_RP01,NY_CM02_RP03,740,746
NY_CM02_RP01,NY_CM02_RP04,83,83
NY_CM02_RP01,NY_CM03_RP01,2617,2746
NY_CM02_RP01,NY_CM03_RP02,2002,2035
NY_CM02_RP01,NY_CM03_RP03,189,190
NY_CM02_RP01,NY_CM03_RP04,8,8
NY_CM02_RP01,NY_CM04_RP01,23,23
NY_CM02_RP01,NY_CM04_RP02,917,918
NY_CM02_RP01,NY_CM04_RP03,1255,1262
